id,name,gpa,field_of_study,financial_aid,requirements
S71F5C,Katie Steele,3.51,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S8CF54,Karen Jimenez,2.85,IT,['STEM Excellence Award'],['Field of Study in STEM']
SCDF32,Evan Kim,3.51,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S0FE64,Melinda Clements,2.61,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SBCB5F,Courtney Ford,2.24,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S8D903,Kim Ruiz,2.73,Physics,['STEM Excellence Award'],['Field of Study in STEM']
SA86FD,Richard Brown,3.76,Art,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S68AAA,Jacqueline Mclaughlin,3.45,Business,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
SF5DB8,Christine Foster,2.08,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S34831,Kara Ochoa,3.31,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S9AD48,Mark Fisher,3.14,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SADFDE,Richard Johnson,3.57,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S44915,Kenneth Smith,2.61,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SC8661,Jason Riley,2.03,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SB38C4,Sarah Walker,2.76,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SE147D,Rachel Allen DDS,2.12,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S5AB3E,Kevin Chambers,3.05,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S39B0B,Sierra Hardy,3.66,Music,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S82935,Robert Hart,3.05,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S21570,William Martin,2.72,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S45509,Devin Warren,3.74,Music,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
SA3932,Michael Smith,3.62,Computer Science,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S6B9C8,Nathaniel Collins,3.51,Paralegal,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
SE47F4,Donald Mathis,2.31,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SF02EA,Ariana Ortiz,3.99,Mathematics,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S13742,Richard Lewis,2.29,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S1153E,John Johnson,2.49,Biology,['STEM Excellence Award'],['Field of Study in STEM']
SA5496,Timothy Atkins,2.93,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SC589B,Kenneth Burch,2.87,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S407FB,Katie Brown,2.01,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S99A6D,Jennifer Gardner,3.44,Philosophy,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S80AF5,Chelsea Riggs,3.92,Economics,"['Presidential Scholarship', 'Business Leadership Scholarship']","['GPA ≥ 3.8', 'Field of Study in Business/Economics']"
S431C4,Andrew Roberts,3.52,Computer Science,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SE2541,Teresa Woods,3.47,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S55489,Kelly Nelson,2.3,Education,['Public Service Grant'],['Field of Study in Public Service']
SA38E6,Barbara Obrien,2.5,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S7E70A,Carl Townsend,3.73,Anthropology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S0884B,Vanessa Dunn,3.64,Nursing,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
SC4DA4,Samantha Leblanc,2.21,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S26928,Timothy Carr,2.08,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SB3291,Richard Baird,2.87,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SCCE0A,Michelle Moore,2.28,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SF78E3,Natalie Mueller,3.81,IT,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S51402,Sandra Robles,2.51,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S4BE5F,Jerry Vega,3.13,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S74169,Miguel Conner,3.19,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S0C3FE,Jesse White,2.92,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S75307,Robert Brown,2.3,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S93D77,Linda Petty MD,3.96,Philosophy,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
SE262D,Larry West,2.39,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SB3CED,Wayne George,3.74,Sociology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S11FDC,Thomas Grant,3.75,History,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
SFEC10,Eric Hess,3.41,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SBC065,Tracy Hartman,3.01,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S62567,Ann Martin,3.23,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SDEF04,Ashley Campbell,2.9,IT,['STEM Excellence Award'],['Field of Study in STEM']
S9739D,Ryan Patterson,3.17,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SB5F76,Jessica Brown,2.2,Education,['Public Service Grant'],['Field of Study in Public Service']
S32295,Edward Cooper,3.78,English,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
SD5C3C,James Harmon,3.46,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
SE9E73,Shannon Young,3.7,Philosophy,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S7A837,Amanda Wilson,2.45,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S59DE2,Jeffrey Webb,2.64,IT,['STEM Excellence Award'],['Field of Study in STEM']
SC7379,Jessica Reed,3.28,Education,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
SAFDF5,Scott Johnson,2.2,IT,['STEM Excellence Award'],['Field of Study in STEM']
S8479F,Douglas Howell,3.92,History,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S08A78,Jacob Wright,3.67,Paralegal,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
SBC7DD,Michael Green,3.28,Philosophy,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S4240A,Rebecca Mclaughlin,3.05,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S1EFA0,Bonnie Boyd,2.59,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S2F13E,Mr. Jason Willis,2.77,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S3849A,Adam Moore,3.92,Mathematics,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S05A38,Karl Weber,3.59,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S2B1D0,Sherri Cruz,3.88,Social Work,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
SAC5AB,David Glover,3.67,Philosophy,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S4DB75,Wanda Baker,3.91,Mathematics,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S8717E,Christopher Henderson,3.49,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SD0E59,David Ramirez,2.52,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SB4005,Wendy Salazar,2.57,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S56BCE,Sheila White,2.15,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S747FC,Justin Porter,3.76,Sociology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S4D8D6,Stephen Williams,2.18,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S08895,Peter Smith,2.41,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S7BAA9,Jennifer Hawkins,2.99,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S0156C,Kimberly Fisher,2.28,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S49EF8,Connie Rice,2.28,IT,['STEM Excellence Award'],['Field of Study in STEM']
S5FCFC,Mark Gibson,2.73,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SFCF4D,Cory Dominguez,3.2,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S12BAB,Jeffrey Foster,2.17,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S56271,Kimberly Peters,2.41,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S24CDF,Jeffrey Owen,3.55,Statistics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S279CB,Deanna Garcia,2.64,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SFFDBD,Heather Leonard,2.12,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SD94B7,Jessica Gentry,3.53,Paralegal,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S8748B,James White,2.99,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SF4A89,Bryan Evans,3.89,Anthropology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S968B6,Krista Turner,3.6,Law,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
S11122,Carla Robinson,3.01,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S6B0CF,Nancy Perkins,2.28,Biology,['STEM Excellence Award'],['Field of Study in STEM']
SCC846,Susan Olson DVM,3.18,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S69FB7,Catherine Cruz,2.44,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SB0935,David Dunn,3.2,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S61161,William Bartlett,3.47,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SA30CA,Leslie Newman,2.83,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S67DC0,Sierra Hill,3.04,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SAC820,Pamela Walker,3.08,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S89ADB,Tracy Harrison,3.69,Computer Science,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S8F6C8,Janice Kim,2.45,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SC9077,Mark Wolf,3.45,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S366A8,Christopher Morgan,3.21,Music,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S2D867,Jaime Singh,3.88,Physics,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
SD14D9,Ian Nguyen,2.98,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SF7F13,Leonard Lawrence,2.6,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S0C510,Steven Fernandez,3.48,Education,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
S99E9B,Helen Bullock,2.24,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S21417,Cassandra Berger,3.06,IT,['STEM Excellence Award'],['Field of Study in STEM']
SAFA85,Samantha Li,3.03,Education,['Public Service Grant'],['Field of Study in Public Service']
SEE6E1,Natalie Garcia,2.93,Education,['Public Service Grant'],['Field of Study in Public Service']
S85CBA,Nicholas Bryant,3.11,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SA4253,Robert Melendez,2.91,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SECB74,Cole Hess,2.35,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S438CF,Kevin Hodges,3.24,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S38C82,David Kent,3.34,Psychology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S1C989,Michael Farrell,2.26,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S544EC,Brooke Torres,2.16,IT,['STEM Excellence Award'],['Field of Study in STEM']
SEDAB8,Jennifer Long,3.62,Psychology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S19124,Heidi Hall,3.21,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S5F331,Robert Diaz,3.99,Chemistry,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S705BB,Sonya Fitzgerald,3.16,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S68796,John Parks,2.01,IT,['STEM Excellence Award'],['Field of Study in STEM']
S2DC62,Bethany Morton,2.6,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SD294A,Rose Gilmore,3.19,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SE024B,Jose Stout,2.69,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SEBF19,Cindy Lee,2.45,Education,['Public Service Grant'],['Field of Study in Public Service']
S42398,Anna Coleman,3.91,Anthropology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S90547,Tanya Scott,2.8,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S8000B,Mary Yu,2.32,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SE6488,Mariah Lester,3.55,Paralegal,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S275D9,Daniel Mcintosh,3.78,Mathematics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
SD4224,Melissa Davis,3.01,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S036A2,Crystal Reid MD,3.78,English,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S9F445,Francisco Delgado,3.33,Philosophy,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SA9B70,Aaron Brown,3.25,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S4763F,Michael Odom,3.89,Sociology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S98F14,Elijah Sherman,3.91,Nursing,"['Presidential Scholarship', 'Public Service Grant']","['GPA ≥ 3.8', 'Field of Study in Public Service']"
SCC17D,Laura Davis,2.67,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SBE609,Robert Hartman,3.88,Engineering,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S99EAB,Dr. Gilbert Nelson,3.57,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SE2BA3,Taylor Murray,2.16,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S23DDB,Amanda Woods,2.66,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S045E0,Shelby Perry,2.2,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S60DC5,Jorge Barnes,2.81,IT,['STEM Excellence Award'],['Field of Study in STEM']
SDAB82,Kenneth Thompson,3.94,Physics,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S28774,Michael Fitzpatrick,2.62,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SE48B0,Eric Cherry,3.46,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SF81D3,Ashley Pierce,2.62,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S2B4AD,Joshua Riley,3.44,Philosophy,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S816EA,Steven Sandoval,2.38,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S30701,Kenneth Green,3.43,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SCE7A9,Jose Stein,3.83,Mathematics,"['Presidential Scholarship', 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.8', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S5FFCC,Melissa Smith,2.82,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S08428,Nicole Cox,2.37,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SCC5BE,Michael Rangel,3.21,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SC13A9,Devon Cox,3.6,History,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S0B84C,Kaylee Stewart,2.98,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S03E5B,Monica Johnson,2.15,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SC10FD,Michael Gentry,2.62,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S7B291,Terry Morgan,2.73,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S71233,Brandy Walker,2.82,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S41A16,Robert Nelson,3.28,Education,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
SBDD40,Amanda Cline,3.42,Statistics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S8567F,Jennifer Alvarado,3.7,Music,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S12422,Robin Wolfe,3.42,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S4B932,Shannon Petersen PhD,2.14,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S7E30F,Jared Holmes,2.18,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S0BD9C,Karen Gonzales,2.8,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SE00A9,Kelsey Kaiser,3.95,Law,"['Presidential Scholarship', 'Legal Studies Full Ride']","['GPA ≥ 3.8', 'Field of Study in Legal Studies']"
S71627,Debbie Gaines,2.86,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SC378E,Omar Robinson,2.07,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S98D15,Antonio Cox,2.33,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S6C496,Jennifer Lewis,3.35,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SC5668,Emily Lee,3.43,Paralegal,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S9B8AB,Courtney Foster,2.57,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SAC4F1,Alyssa Bryant,2.86,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S284E2,Heather Weaver,3.69,Social Work,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
SBC47B,Matthew Dixon,3.4,Social Work,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SB84FC,Ronald Welch,2.24,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SF60A6,Joseph Owen,3.54,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SC96A8,Alexander Keith,2.58,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S0F43F,Crystal Aguilar,2.58,Physics,['STEM Excellence Award'],['Field of Study in STEM']
SE1328,Madison Parker,2.98,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S74D7E,Amy Heath,3.03,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S8AC17,Rita Sullivan,2.39,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SB4FE2,Timothy Wu,3.48,Music,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SA5B4B,Robert Miller,3.07,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S80D6A,Eddie Clark,3.36,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SB7A21,Steve Burton,2.92,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SE711B,Daniel Travis,3.66,Nursing,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
S40960,Rebecca Brown,3.05,Nursing,['Public Service Grant'],['Field of Study in Public Service']
SA34DA,Amy Moore,2.93,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S0CA36,Keith Farmer,2.9,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S8AA70,David Rubio,3.5,Music,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S8E41A,Luis Smith MD,3.28,Business,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
S20973,Catherine Elliott,2.26,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SE2A86,Brian Kelley,2.05,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S5FD12,Deborah Davila,3.66,Education,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
S79C57,Andrew Morris,3.84,Philosophy,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S83784,Paul Mclean,3.34,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S8545A,Monique Bender,2.13,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S63512,David Castillo,3.54,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S91B5F,Anthony Petersen,2.49,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SCEF99,David Chen,2.29,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SE25CD,Nicole Guzman,2.57,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S7DBBD,Jeremy Martinez,2.62,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
